WBS Number,Title,开始,结束,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1.5.2.4,统计模块,2018/11/9 上午10:00,2018/11/14 下午4:00,2 天,2 天,100%,,吴嘉政,,,,,,,,,500,¥480.00,¥480.00
1.5.2.5,分享模块,2018/11/9 上午10:00,2018/11/14 下午4:00,2 天,2 天,100%,,施健一,,,,,,,,,500,¥480.00,¥480.00
1.5.3,系统编码完成,2018/11/20 下午4:00,2018/11/20 下午4:00,,,100%,,,,,,,,,1.5.2,,,,
1.6,测试,2018/11/21 上午10:00,2018/12/27 下午4:00,2 周 3 天 4 小时,1 月 1 周 3 天,136%,,,,,,,,,1.5,,,"¥6,920.00","¥6,920.00"
1.6.1,根据产品规范制定单元测试计划,2018/11/21 上午10:00,2018/11/22 下午4:00,1 天,1 周,100%,,宋子涵; 褚旭; 吴嘉政; 朱佳俊; 施健一; 会议室,,,,,,,,,500,"¥1,400.00","¥1,400.00"
1.6.2,根据产品规范制定集成测试计划,2018/11/23 上午10:00,2018/11/26 下午4:00,1 天,3 天,100%,,吴嘉政; 施健一; 朱佳俊,,,,,,,1.6.1,,500,¥720.00,¥720.00
1.6.3,根据产品规范制定系统测试计划,2018/12/24 上午10:00,2018/12/25 下午4:00,1 天,2 天,100%,,宋子涵; 褚旭,,,,,,,1.6.5,,500,¥480.00,¥480.00
1.6.4,单元测试,2018/11/23 上午10:00,2018/11/28 下午4:00,2 天,2 周,100%,,吴嘉政; 朱佳俊; 褚旭; 宋子涵; 施健一,,,,,,,1.6.1,,500,"¥2,400.00","¥2,400.00"
1.6.5,集成测试,2018/11/29 上午10:00,2018/12/4 下午4:00,2 天,1 周 1 天,100%,,吴嘉政; 施健一; 朱佳俊,,,,,,,"1.6.2, 1.6.4",,500,"¥1,440.00","¥1,440.00"
1.6.6,系统测试,2018/12/26 上午10:00,2018/12/27 下午4:00,1 天,2 天,100%,,宋子涵; 褚旭,,,,,,,1.6.3,,500,¥480.00,¥480.00
1.6.7,测试完成,2018/12/27 下午4:00,2018/12/27 下午4:00,,,100%,,,,,,,,,1.6.6,,,,
1.7,验收运行,2018/12/28 上午10:00,2019/1/2 下午4:00,2 天,2 周,25%,,褚旭; 施健一; 宋子涵; 吴嘉政; 朱佳俊; 会议室,,,,,,,1.6,,500,"¥2,600.00","¥2,600.00"
1.8,系统提交完成,2019/1/2 下午4:00,2019/1/2 下午4:00,,,0%,,,,,,,,,1.7,,,,
